Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Sonata,Movement,LastName,Track Name Combined
spotify:track:2yoAbeZiRU8rgTWmCBdawA,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,362880,43,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.372,0.0207,1,-30.685,0,0.0476,0.995,0.915,0.154,0.0725,70.487,1,"""Moonlight"", I.",Alfred Brendel,Moonlight,I,Brendel,Moonlight I - Brendel
spotify:track:630zE7N1xPxdK2Zz4S3rPA,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,403333,56,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.278,0.00245,1,-41.53,0,0.0497,0.995,0.881,0.114,0.293,139.161,3,"""Moonlight"", I.",Daniel Barenboim,Moonlight,I,Barenboim,Moonlight I - Barenboim
spotify:track:6foNAcmEDSJxPkGpxA3VEC,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,289973,45,False,mikaylab.,2026-02-15T23:33:58Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.29,0.00626,1,-35.272,0,0.0372,0.994,0.815,0.159,0.0976,92.662,4,"""Moonlight"", I.",Rudolf Buchbinder,Moonlight,I,Buchbinder,Moonlight I - Buchbinder
spotify:track:1AAR3R2k6pAFZ05SElyHLr,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,442600,41,False,mikaylab.,2026-02-15T23:19:34Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.187,0.0021,1,-41.304,0,0.0436,0.995,0.887,0.159,0.196,72.428,4,"""Moonlight"", I.",Louis Lortie,Moonlight,I,Lortie,Moonlight I - Lortie
spotify:track:3p0oqsWcjhAR2F98MWMTeD,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,360600,13,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.199,0.004,1,-38.202,0,0.0497,0.996,0.926,0.088,0.302,70.123,1,"""Moonlight"", I.",Wilhelm Kempff,Moonlight,I,Kempff,Moonlight I - Kempff
spotify:track:70TI9J2rsGIuXyFqVzOswh,"Sonata no. 14 in C-sharp minor, op. 27, no. 2 [Sonata quasi una Fantasia] [Moonlight]: Adagio sostenuto",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,338840,9,False,mikaylab.,2026-02-15T23:21:19Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.124,0.00192,1,-44.341,0,0.0444,0.995,0.927,0.106,0.114,73.237,3,"""Moonlight"", I.",Richard Goode,Moonlight,I,Goode,Moonlight I - Goode
spotify:track:6Km9R1Nlrq8bEqVSfBSM7P,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,394760,11,False,mikaylab.,2026-02-15T23:22:25Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.246,0.00609,1,-45.008,0,0.04,0.995,0.886,0.0853,0.255,67.149,1,"""Moonlight"", I.",Stephen Kovacevich,Moonlight,I,Kovacevich,Moonlight I - Kovacevich
spotify:track:40gRh2ZURv5tYBo8yB9Lu3,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",Ludwig van Beethoven;Paul Lewis,2007-09-25,315426,70,False,mikaylab.,2026-02-15T23:23:22Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.183,0.00527,1,-37.264,0,0.0448,0.995,0.887,0.173,0.147,171.619,3,"""Moonlight"", I.",Paul Lewis,Moonlight,I,Lewis,Moonlight I - Lewis
spotify:track:7q1GK2Pb7ew5BNUTRYrUdr,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,361346,53,False,mikaylab.,2026-02-15T23:35:53Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.167,0.00159,1,-47.267,0,0.0414,0.99,0.907,0.138,0.0694,73.064,1,"""Moonlight"", I.",Steven Osborne,Moonlight,I,Osborne,Moonlight I - Osborne
spotify:track:24t1mpJc8FTPAkYjFdf9NQ,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,313482,45,False,mikaylab.,2026-02-15T23:25:26Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.141,0.00123,1,-43.851,0,0.0429,0.994,0.942,0.11,0.0843,78.155,3,"""Moonlight"", I.",Igor Levit,Moonlight,I,Levit,Moonlight I - Levit
