Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Sonata,Movement,LastName,Track Name Combined
spotify:track:3DjOHZyKnxgFQZcNTTRoWa,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,145066,16,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.428,0.0742,1,-22.009,1,0.0825,0.996,0.963,0.105,0.41,182.682,3,"""Moonlight"", II.",Alfred Brendel,Moonlight,II,Brendel,Moonlight II - Brendel
spotify:track:7lo7NTRhtbbiwKODiMRsR7,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": II. Allegretto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,132933,46,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.539,0.0141,1,-30.148,1,0.0538,0.996,0.924,0.118,0.34,67.69,4,"""Moonlight"", II.",Daniel Barenboim,Moonlight,II,Barenboim,Moonlight II - Barenboim
spotify:track:4rkNWi4gs5ZXtJa1MyMmUH,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,112520,1,False,mikaylab.,2026-02-15T23:33:58Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.494,0.0657,1,-24.277,1,0.0598,0.995,0.925,0.0994,0.476,122.42,4,"""Moonlight"", II.",Rudolf Buchbinder,Moonlight,II,Buchbinder,Moonlight II - Buchbinder
spotify:track:6rGLpfkpRdvmQ5gcs0yDft,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,136826,5,False,mikaylab.,2026-02-15T23:19:34Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.444,0.0154,1,-29.207,1,0.037,0.995,0.905,0.0953,0.368,63.734,4,"""Moonlight"", II.",Louis Lortie,Moonlight,II,Lortie,Moonlight II - Lortie
spotify:track:5zTxnfHXTFdmbIb6rQ5ExO,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": II. Allegretto","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,139400,8,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.557,0.0267,1,-24.926,1,0.0485,0.996,0.943,0.121,0.577,96.511,4,"""Moonlight"", II.",Wilhelm Kempff,Moonlight,II,Kempff,Moonlight II - Kempff
spotify:track:1eGZaS7OBH3sjUbZxyXimu,"Sonata no. 14 in C-sharp minor, op. 27, no. 2 [Sonata quasi una Fantasia] [Moonlight]: Allegretto",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,137426,3,False,mikaylab.,2026-02-15T23:21:19Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.401,0.0122,1,-33.98,1,0.0558,0.995,0.926,0.0966,0.406,201.813,3,"""Moonlight"", II.",Richard Goode,Moonlight,II,Goode,Moonlight II - Goode
spotify:track:2FTjVkbhDn5q6DSlY5Eec3,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,124880,2,False,mikaylab.,2026-02-15T23:22:25Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.403,0.0375,1,-29.525,1,0.0449,0.994,0.851,0.11,0.229,69.821,4,"""Moonlight"", II.",Stephen Kovacevich,Moonlight,II,Kovacevich,Moonlight II - Kovacevich
spotify:track:5OWTJ1hKJIfTNZR3whHi5D,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto","Beethoven: Piano Sonatas, Vol. 3",Ludwig van Beethoven;Paul Lewis,2007-09-25,139426,25,False,mikaylab.,2026-02-15T23:23:22Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.447,0.0589,1,-24.229,1,0.0487,0.996,0.907,0.105,0.368,64.155,4,"""Moonlight"", II.",Paul Lewis,Moonlight,II,Lewis,Moonlight II - Lewis
spotify:track:7dMEyGgy2lsDNfNNRKalpF,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,119520,6,False,mikaylab.,2026-02-15T23:35:53Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.445,0.0171,1,-34.443,1,0.0404,0.996,0.949,0.0842,0.322,120.442,3,"""Moonlight"", II.",Steven Osborne,Moonlight,II,Osborne,Moonlight II - Osborne
spotify:track:0GKRboF09KumNqYHiBJTOR,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": II. Allegretto",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,125629,20,False,mikaylab.,2026-02-15T23:25:26Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.421,0.013,1,-33.834,1,0.0381,0.996,0.894,0.126,0.383,72.935,4,"""Moonlight"", II.",Igor Levit,Moonlight,II,Levit,Moonlight II - Levit
