Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:3msLcxPa3AMIpJaohag27y,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,580120,28,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.338,0.158,5,-23.243,0,0.0458,0.992,0.901,0.137,0.0747,155.436,4,"""Pathétique"", I.",Alfred Brendel,2010.0,Pathétique,I,Pathétique I - Brendel
spotify:track:0mrL0X7fb7XDQ0l3zeimbx,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,569400,37,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.369,0.116,0,-23.33,0,0.0609,0.991,0.899,0.0775,0.0806,74.204,4,"""Pathétique"", I.",Daniel Barenboim,1984.0,Pathétique,I,Pathétique I - Barenboim
spotify:track:4FCsEWnYqN8DiCLGRnPaqP,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,530600,2,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.343,0.145,0,-21.957,0,0.0642,0.989,0.892,0.142,0.0832,167.112,4,"""Pathétique"", I.",Rudolf Buchbinder,1984.0,Pathétique,I,Pathétique I - Buchbinder
spotify:track:1MfsO8ehleI0mp6B4tdAQ1,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,548000,1,False,mikaylab.,2026-02-15T23:19:28Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.28,0.134,0,-24.078,0,0.0456,0.984,0.916,0.0672,0.0558,150.351,4,"""Pathétique"", I.",Louis Lortie,1993.0,Pathétique,I,Pathétique I - Lortie
spotify:track:7ygOmPqEKiz2AIkkfrxCpJ,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave – Allegro di molto e con brio","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,436333,9,False,mikaylab.,2026-02-18T15:06:21Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.422,0.131,0,-20.688,0,0.0535,0.991,0.941,0.0911,0.0602,137.553,4,"""Pathétique"", I.",Wilhelm Kempff,1995.0,Pathétique,I,Pathétique I - Kempff
spotify:track:7LFNe2USP4xyuMVhUIZysK,"Sonata no. 8 in C minor, op. 13 [Pathetique]: Grave; Allegro molto e con brio",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,516000,5,False,mikaylab.,2026-02-15T23:21:11Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.34,0.0929,0,-25.942,0,0.0489,0.989,0.9,0.0615,0.063,79.248,4,"""Pathétique"", I.",Richard Goode,1993.0,Pathétique,I,Pathétique I - Goode
spotify:track:13MZ9mtzSoKeRtAKDhpGpP,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,527920,2,False,mikaylab.,2026-02-15T23:22:16Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.422,0.171,5,-24.146,0,0.0554,0.983,0.942,0.0772,0.0784,75.512,4,"""Pathétique"", I.",Stephen Kovacevich,2003.0,Pathétique,I,Pathétique I - Kovacevich
spotify:track:7D2Z1k9B7t1m40kidGuiIy,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,588053,8,False,mikaylab.,2026-02-15T23:23:53Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.314,0.158,0,-21.489,0,0.0471,0.989,0.901,0.0625,0.0561,75.181,4,"""Pathétique"", I.",Paul Lewis,2007.0,Pathétique,I,Pathétique I - Lewis
spotify:track:5nB5lv89uyDsFZbowk970Z,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave – Allegro di molto e con brio","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,523492,6,False,mikaylab.,2026-02-15T23:35:50Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.317,0.124,0,-24.468,0,0.0526,0.986,0.907,0.0661,0.0582,162.624,4,"""Pathétique"", I.",Steven Osborne,2010.0,Pathétique,I,Pathétique I - Osborne
spotify:track:7s9MNqDSt8fJ0qDsT60rvT,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,518884,21,False,mikaylab.,2026-02-15T23:25:19Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.418,0.104,0,-23.681,0,0.0493,0.99,0.91,0.087,0.12,87.603,4,"""Pathétique"", I.",Igor Levit,2019.0,Pathétique,I,Pathétique I - Levit
spotify:track:5OdXTInO0uuzAamRiDFxif,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Fazıl Say,2020-01-17,497480,6,False,mikaylab.,2026-02-15T23:26:04Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.377,0.132,0,-23.074,0,0.0483,0.991,0.894,0.0877,0.0994,149.521,4,"""Pathétique"", I.",Fazıl Say,2020.0,Pathétique,I,Pathétique I - Say
spotify:track:7sHK7HgiFSSH7BrWSc4HIe,"Piano Sonata No. 8 in C Minor, Op. 13 “Pathétique”: I. Grave - Allegro di molto e con brio",Beethoven: The Complete Piano Sonatas Nos. 1-32,Ludwig van Beethoven;David Korevaar,2026-01-30,515336,3,False,mikaylab.,2026-02-15T23:27:06Z,"klassiek,klassieke piano,kamermuziek",Prospero Classical,0.36,0.15,0,-23.207,0,0.0537,0.988,0.906,0.0837,0.084,76.758,4,"""Pathétique"", I.",David Korevaar,2026.0,Pathétique,I,Pathétique I - Korevaar
