Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:59N2oEyhMF01rjlSVln5HU,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,317386,29,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.315,0.00687,8,-32.752,1,0.0427,0.995,0.872,0.107,0.075,112.846,4,"""Pathétique"", II.",Alfred Brendel,2010.0,Pathétique,II,Pathétique II - Brendel
spotify:track:0HXkeWXAYYPoR0wml4gtgu,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,320466,45,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.363,0.0029,8,-35.441,1,0.0534,0.995,0.898,0.113,0.157,96.774,4,"""Pathétique"", II.",Daniel Barenboim,1984.0,Pathétique,II,Pathétique II - Barenboim
spotify:track:7Lkeq05R0PHLt77Pi6LtLF,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,345866,22,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.37,0.00602,8,-32.827,1,0.054,0.995,0.932,0.114,0.17,105.963,4,"""Pathétique"", II.",Rudolf Buchbinder,1984.0,Pathétique,II,Pathétique II - Buchbinder
spotify:track:7rOjTx6jh1Icg4KBGPMa4Z,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,289000,1,False,mikaylab.,2026-02-15T23:19:28Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.307,0.00344,8,-37.356,1,0.0592,0.995,0.93,0.108,0.0873,66.868,4,"""Pathétique"", II.",Louis Lortie,1993.0,Pathétique,II,Pathétique II - Lortie
spotify:track:2YIEopBmaVBVsrCE4nUdp3,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,295000,10,False,mikaylab.,2026-02-18T15:06:21Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.341,0.00754,8,-30.313,1,0.0476,0.995,0.895,0.104,0.12,133.209,4,"""Pathétique"", II.",Wilhelm Kempff,1995.0,Pathétique,II,Pathétique II - Kempff
spotify:track:4NhStBCZ4PZ60y5kCHs64I,"Sonata no. 8 in C minor, op. 13 [Pathetique]: Adagio cantabile",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,331333,5,False,mikaylab.,2026-02-15T23:21:11Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.228,0.00258,8,-38.19,1,0.0617,0.995,0.914,0.101,0.062,177.963,3,"""Pathétique"", II.",Richard Goode,1993.0,Pathétique,II,Pathétique II - Goode
spotify:track:55BSszZjjv0SjCGzA2maKR,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,334653,13,False,mikaylab.,2026-02-15T23:22:16Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.375,0.00888,8,-30.658,1,0.0427,0.995,0.919,0.102,0.0951,127.876,3,"""Pathétique"", II.",Stephen Kovacevich,2003.0,Pathétique,II,Pathétique II - Kovacevich
spotify:track:014W5v2M4agPL2pKfGV3yT,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,323026,15,False,mikaylab.,2026-02-15T23:23:53Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.223,0.00629,8,-33.597,1,0.0475,0.995,0.885,0.118,0.0965,57.654,4,"""Pathétique"", II.",Paul Lewis,2007.0,Pathétique,II,Pathétique II - Lewis
spotify:track:1rVShu1oqtgjU9K4QpT5wR,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,306733,7,False,mikaylab.,2026-02-15T23:35:50Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.307,0.00389,8,-37.504,1,0.0438,0.994,0.879,0.114,0.11,64.467,4,"""Pathétique"", II.",Steven Osborne,2010.0,Pathétique,II,Pathétique II - Osborne
spotify:track:3jeQSllNtDd0N8Ut3xbDCP,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,303285,46,False,mikaylab.,2026-02-15T23:25:19Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.234,0.00304,8,-36.857,1,0.0509,0.995,0.911,0.0935,0.0865,63.074,4,"""Pathétique"", II.",Igor Levit,2019.0,Pathétique,II,Pathétique II - Levit
