Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:7otP9S9QBeZaNIcljnuBSY,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,272200,19,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.335,0.151,0,-24.602,0,0.0408,0.993,0.916,0.125,0.173,104.261,4,"""Pathétique"", III.",Alfred Brendel,2010.0,Pathétique,III,Pathétique III - Brendel
spotify:track:0U8s7QWZkYCKpvKZg69VfN,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,288266,45,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.3,0.0802,0,-24.716,0,0.0473,0.991,0.902,0.112,0.209,97.25,3,"""Pathétique"", III.",Daniel Barenboim,1984.0,Pathétique,III,Pathétique III - Barenboim
spotify:track:1gnW3s36mQQFoqlcnzHP1L,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,270706,2,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.347,0.105,0,-23.561,0,0.0472,0.99,0.89,0.215,0.21,102.647,4,"""Pathétique"", III.",Rudolf Buchbinder,1984.0,Pathétique,III,Pathétique III - Buchbinder
spotify:track:7pLEK2HOl2dQFbmxJo94Z7,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,276360,1,False,mikaylab.,2026-02-15T23:19:28Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.277,0.0877,0,-26.215,0,0.0421,0.99,0.925,0.066,0.188,103.644,4,"""Pathétique"", III.",Louis Lortie,1993.0,Pathétique,III,Pathétique III - Lortie
spotify:track:0gGZPnyWtzHitynJ7qpBTh,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,271000,8,False,mikaylab.,2026-02-18T15:06:21Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.382,0.116,0,-21.156,0,0.0414,0.992,0.924,0.222,0.272,98.658,4,"""Pathétique"", III.",Wilhelm Kempff,1995.0,Pathétique,III,Pathétique III - Kempff
spotify:track:6hrB8sXAQrbNoJZFiJhfNH,"Sonata no. 8 in C minor, op. 13 [Pathetique]: Rondo: Allegro",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,255533,3,False,mikaylab.,2026-02-15T23:21:11Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.339,0.0623,0,-28.263,0,0.0416,0.99,0.898,0.113,0.167,106.336,4,"""Pathétique"", III.",Richard Goode,1993.0,Pathétique,III,Pathétique III - Goode
spotify:track:20zcsi5J6hX3IGdxfME4Cq,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,257840,2,False,mikaylab.,2026-02-15T23:22:16Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.38,0.103,5,-25.561,0,0.0381,0.987,0.919,0.109,0.249,107.512,4,"""Pathétique"", III.",Stephen Kovacevich,2003.0,Pathétique,III,Pathétique III - Kovacevich
spotify:track:5J2asnmk8ZeP07RbatgWw0,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo (Allegro)","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,321213,7,False,mikaylab.,2026-02-15T23:23:53Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.197,0.134,0,-22.803,0,0.0423,0.989,0.922,0.117,0.12,84.499,4,"""Pathétique"", III.",Paul Lewis,2007.0,Pathétique,III,Pathétique III - Lewis
spotify:track:7F3x0HjXGxauf76CcMLF3Y,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,298320,5,False,mikaylab.,2026-02-15T23:35:50Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.252,0.0797,0,-26.684,0,0.0437,0.988,0.901,0.115,0.174,94.758,4,"""Pathétique"", III.",Steven Osborne,2010.0,Pathétique,III,Pathétique III - Osborne
spotify:track:3X8CUK3YEQBW6phhBALFxG,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": III. Rondo. Allegro",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,251523,20,False,mikaylab.,2026-02-15T23:25:19Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.34,0.0991,0,-24.893,0,0.0418,0.99,0.92,0.11,0.157,110.141,4,"""Pathétique"", III.",Igor Levit,2019.0,Pathétique,III,Pathétique III - Levit
