Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:3msLcxPa3AMIpJaohag27y,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,580120,28,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.338,0.158,5,-23.243,0,0.0458,0.992,0.901,0.137,0.0747,155.436,4,"""Pathétique"", I.",Alfred Brendel,2010.0,Pathétique,I,Pathétique I - Brendel
spotify:track:59N2oEyhMF01rjlSVln5HU,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,317386,29,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.315,0.00687,8,-32.752,1,0.0427,0.995,0.872,0.107,0.075,112.846,4,"""Pathétique"", II.",Alfred Brendel,2010.0,Pathétique,II,Pathétique II - Brendel
spotify:track:7otP9S9QBeZaNIcljnuBSY,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,272200,19,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.335,0.151,0,-24.602,0,0.0408,0.993,0.916,0.125,0.173,104.261,4,"""Pathétique"", III.",Alfred Brendel,2010.0,Pathétique,III,Pathétique III - Brendel
spotify:track:2yoAbeZiRU8rgTWmCBdawA,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,362880,43,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.372,0.0207,1,-30.685,0,0.0476,0.995,0.915,0.154,0.0725,70.487,1,"""Moonlight"", I.",Alfred Brendel,2010.0,Moonlight,I,Moonlight I - Brendel
spotify:track:3DjOHZyKnxgFQZcNTTRoWa,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,145066,16,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.428,0.0742,1,-22.009,1,0.0825,0.996,0.963,0.105,0.41,182.682,3,"""Moonlight"", II.",Alfred Brendel,2010.0,Moonlight,II,Moonlight II - Brendel
spotify:track:0Rw3g5Ayoyj4Uc83ZhF2Ep,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,451240,19,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.277,0.16,9,-19.648,1,0.0477,0.994,0.914,0.1,0.0697,79.188,4,"""Moonlight"", III.",Alfred Brendel,2010.0,Moonlight,III,Moonlight III - Brendel
spotify:track:19lMiLwS7HyNiN2e3euKW6,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,648400,16,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.223,0.185,0,-22.105,1,0.047,0.988,0.914,0.0767,0.0707,69.562,4,"""Waldstein"", I.",Alfred Brendel,2010.0,Waldstein,I,Waldstein I - Brendel
spotify:track:1Id4OzXjcPL72ZXqmvB2U1,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,262813,13,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.439,0.00263,0,-30.59,1,0.0746,0.994,0.952,0.203,0.0762,87.984,4,"""Waldstein"", II.",Alfred Brendel,2010.0,Waldstein,II,Waldstein II - Brendel
spotify:track:4yUHIm2aC7M9NACl2UuZUX,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,594506,15,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.341,0.0993,0,-21.645,1,0.0355,0.988,0.909,0.0796,0.0488,104.788,4,"""Waldstein"", III.",Alfred Brendel,2010.0,Waldstein,III,Waldstein III - Brendel
spotify:track:4FCsEWnYqN8DiCLGRnPaqP,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,530600,2,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.343,0.145,0,-21.957,0,0.0642,0.989,0.892,0.142,0.0832,167.112,4,"""Pathétique"", I.",Rudolf Buchbinder,1984.0,Pathétique,I,Pathétique I - Buchbinder
spotify:track:7Lkeq05R0PHLt77Pi6LtLF,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,345866,22,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.37,0.00602,8,-32.827,1,0.054,0.995,0.932,0.114,0.17,105.963,4,"""Pathétique"", II.",Rudolf Buchbinder,1984.0,Pathétique,II,Pathétique II - Buchbinder
spotify:track:1gnW3s36mQQFoqlcnzHP1L,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,270706,2,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.347,0.105,0,-23.561,0,0.0472,0.99,0.89,0.215,0.21,102.647,4,"""Pathétique"", III.",Rudolf Buchbinder,1984.0,Pathétique,III,Pathétique III - Buchbinder
