track_uri,track_name,album_name,artist_name(s),release_date,duration_(ms),popularity,explicit,added_by,added_at,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,standardized_track_name,pianist,year,sonata,movement
spotify:track:3msLcxPa3AMIpJaohag27y,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,580120,27,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.338,0.158,5,-23.243,0,0.0458,0.992,0.901,0.137,0.0747,155.436,4,"""Pathétique"", I.",Alfred Brendel,2010.0,Pathétique,I
spotify:track:59N2oEyhMF01rjlSVln5HU,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,317386,28,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.315,0.00687,8,-32.752,1,0.0427,0.995,0.872,0.107,0.075,112.846,4,"""Pathétique"", II.",Alfred Brendel,2010.0,Pathétique,II
spotify:track:7otP9S9QBeZaNIcljnuBSY,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,272200,19,False,mikaylab.,2026-02-15T23:29:18Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.335,0.151,0,-24.602,0,0.0408,0.993,0.916,0.125,0.173,104.261,4,"""Pathétique"", III.",Alfred Brendel,2010.0,Pathétique,III
spotify:track:2yoAbeZiRU8rgTWmCBdawA,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,362880,42,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.372,0.0207,1,-30.685,0,0.0476,0.995,0.915,0.154,0.0725,70.487,1,"""Moonlight"", I.",Alfred Brendel,2010.0,Moonlight,I
spotify:track:3DjOHZyKnxgFQZcNTTRoWa,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,145066,16,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.428,0.0742,1,-22.009,1,0.0825,0.996,0.963,0.105,0.41,182.682,3,"""Moonlight"", II.",Alfred Brendel,2010.0,Moonlight,II
spotify:track:0Rw3g5Ayoyj4Uc83ZhF2Ep,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,451240,19,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.277,0.16,9,-19.648,1,0.0477,0.994,0.914,0.1,0.0697,79.188,4,"""Moonlight"", III.",Alfred Brendel,2010.0,Moonlight,III
spotify:track:19lMiLwS7HyNiN2e3euKW6,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,648400,15,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.223,0.185,0,-22.105,1,0.047,0.988,0.914,0.0767,0.0707,69.562,4,"""Waldstein"", I.",Alfred Brendel,2010.0,Waldstein,I
spotify:track:1Id4OzXjcPL72ZXqmvB2U1,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,262813,13,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.439,0.00263,0,-30.59,1,0.0746,0.994,0.952,0.203,0.0762,87.984,4,"""Waldstein"", II.",Alfred Brendel,2010.0,Waldstein,II
spotify:track:4yUHIm2aC7M9NACl2UuZUX,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,594506,14,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.341,0.0993,0,-21.645,1,0.0355,0.988,0.909,0.0796,0.0488,104.788,4,"""Waldstein"", III.",Alfred Brendel,2010.0,Waldstein,III
spotify:track:0mrL0X7fb7XDQ0l3zeimbx,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,569400,37,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.369,0.116,0,-23.33,0,0.0609,0.991,0.899,0.0775,0.0806,74.204,4,"""Pathétique"", I.",Daniel Barenboim,1984.0,Pathétique,I
