Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:19lMiLwS7HyNiN2e3euKW6,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,648400,16,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.223,0.185,0,-22.105,1,0.047,0.988,0.914,0.0767,0.0707,69.562,4,"""Waldstein"", I.",Alfred Brendel,2010.0,Waldstein,I,Waldstein I - Brendel
spotify:track:4GmS3dDhEiJRpqgsKZzC0N,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,691826,30,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.252,0.125,0,-22.925,1,0.0438,0.984,0.924,0.0825,0.126,77.43,4,"""Waldstein"", I.",Daniel Barenboim,1984.0,Waldstein,I,Waldstein I - Barenboim
spotify:track:50zJ496h3Ll9PNOSShes7d,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,555493,1,False,mikaylab.,2026-02-15T23:34:03Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.252,0.442,0,-13.802,1,0.0392,0.975,0.914,0.077,0.147,87.28,4,"""Waldstein"", I.",Rudolf Buchbinder,1984.0,Waldstein,I,Waldstein I - Buchbinder
spotify:track:6lzF3lAMCShmG3skGLcdMJ,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,664400,0,False,mikaylab.,2026-02-15T23:19:42Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.249,0.134,0,-24.597,1,0.0406,0.987,0.93,0.0609,0.0855,154.999,4,"""Waldstein"", I.",Louis Lortie,1993.0,Waldstein,I,Waldstein I - Lortie
spotify:track:4SAofftDsMmh88tVUv8Xhf,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,655000,8,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.277,0.198,0,-21.218,1,0.0372,0.99,0.928,0.139,0.146,154.269,4,"""Waldstein"", I.",Wilhelm Kempff,1995.0,Waldstein,I,Waldstein I - Kempff
spotify:track:3vLbUhiVwi9bjkuVfc4OKj,"Sonata no. 21 in C major, op. 53 [Waldstein]: Allegro con brio",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,603000,8,False,mikaylab.,2026-02-15T23:21:31Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.224,0.125,0,-26.133,1,0.0427,0.987,0.912,0.0811,0.114,75.819,4,"""Waldstein"", I.",Richard Goode,1993.0,Waldstein,I,Waldstein I - Goode
spotify:track:2QAGe47zuL2jKQhkQZOYuA,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,630693,1,False,mikaylab.,2026-02-15T23:22:42Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.27,0.204,0,-22.197,1,0.0401,0.988,0.919,0.0792,0.088,80.375,4,"""Waldstein"", I.",Stephen Kovacevich,2003.0,Waldstein,I,Waldstein I - Kovacevich
spotify:track:4EiCzQNNtC2ics0EMLOFW7,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,687986,5,False,mikaylab.,2026-02-15T23:24:17Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.251,0.174,0,-22.339,1,0.0396,0.985,0.917,0.0586,0.0627,75.043,4,"""Waldstein"", I.",Paul Lewis,2007.0,Waldstein,I,Waldstein I - Lewis
spotify:track:1QxTOGbnFI954MquXWnve4,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,658880,4,False,mikaylab.,2026-02-15T23:36:00Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.217,0.146,0,-24.295,1,0.0403,0.982,0.919,0.0892,0.102,79.903,4,"""Waldstein"", I.",Steven Osborne,2010.0,Waldstein,I,Waldstein I - Osborne
spotify:track:3WFTQHUd4DBoEucAWxaPDm,"Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": I. Allegro con brio",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,602757,50,False,mikaylab.,2026-02-15T23:25:32Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.2,0.0967,0,-26.579,1,0.0419,0.986,0.934,0.0894,0.0845,85.258,4,"""Waldstein"", I.",Igor Levit,2019.0,Waldstein,I,Waldstein I - Levit
