Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:1Id4OzXjcPL72ZXqmvB2U1,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,262813,13,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.439,0.00263,0,-30.59,1,0.0746,0.994,0.952,0.203,0.0762,87.984,4,"""Waldstein"", II.",Alfred Brendel,2010.0,Waldstein,II,Waldstein II - Brendel
spotify:track:6Sl7pLlaDpgRYHKCj9ygQS,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,278866,24,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.461,0.0012,5,-37.05,1,0.0688,0.992,0.882,0.0686,0.127,79.252,4,"""Waldstein"", II.",Daniel Barenboim,1984.0,Waldstein,II,Waldstein II - Barenboim
spotify:track:2S3jdBr37xonPYc96gFfGe,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,218000,0,False,mikaylab.,2026-02-15T23:34:03Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.517,0.00349,0,-30.498,1,0.0718,0.989,0.912,0.0674,0.0524,58.712,4,"""Waldstein"", II.",Rudolf Buchbinder,1984.0,Waldstein,II,Waldstein II - Buchbinder
spotify:track:1ywN3nZeWmqzMHUTX6lSXJ,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Allegro molto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,237213,0,False,mikaylab.,2026-02-15T23:19:42Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.491,0.00116,5,-33.73,1,0.0758,0.993,0.888,0.0615,0.106,135.094,3,"""Waldstein"", II.",Louis Lortie,1993.0,Waldstein,II,Waldstein II - Lortie
spotify:track:6IVLNmpDtDbtWLU7fFpn8f,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,185040,5,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.534,0.00372,0,-27.84,1,0.0562,0.994,0.927,0.0495,0.0629,48.132,4,"""Waldstein"", II.",Wilhelm Kempff,1995.0,Waldstein,II,Waldstein II - Kempff
spotify:track:6O6XPhBhdpNP08qMDIP2RA,"Sonata no. 21 in C major, op. 53 [Waldstein]: Introduzione: Adagio molto",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,242573,3,False,mikaylab.,2026-02-15T23:21:31Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.462,0.00167,5,-34.804,1,0.0677,0.992,0.873,0.0762,0.195,132.64,3,"""Waldstein"", II.",Richard Goode,1993.0,Waldstein,II,Waldstein II - Goode
spotify:track:5xoL18caWSGyIktE782sqS,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,208586,0,False,mikaylab.,2026-02-15T23:22:42Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.41,0.00201,0,-33.724,1,0.057,0.993,0.931,0.089,0.0462,134.612,3,"""Waldstein"", II.",Stephen Kovacevich,2003.0,Waldstein,II,Waldstein II - Kovacevich
spotify:track:0IFQsYwYEvTkIXQIRub225,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione (Adagio molto)","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,275773,3,False,mikaylab.,2026-02-15T23:24:17Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.463,0.00183,5,-31.316,1,0.0877,0.992,0.936,0.0818,0.123,77.349,4,"""Waldstein"", II.",Paul Lewis,2007.0,Waldstein,II,Waldstein II - Lewis
spotify:track:7puUjgKhq5x62A2vhNIkUq,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,275266,3,False,mikaylab.,2026-02-15T23:36:00Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.384,0.00121,0,-34.918,1,0.0816,0.989,0.917,0.0735,0.0938,71.116,4,"""Waldstein"", II.",Steven Osborne,2010.0,Waldstein,II,Waldstein II - Osborne
spotify:track:5vy4fYUcx8H21wQhYbbNwK,"Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,270779,15,False,mikaylab.,2026-02-15T23:25:32Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.362,0.000868,0,-37.179,1,0.0575,0.993,0.963,0.0762,0.0765,137.64,4,"""Waldstein"", II.",Igor Levit,2019.0,Waldstein,II,Waldstein II - Levit
spotify:track:4l5iEpHVOPd4DV3JY58Ywp,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": II. Introduzione (Adagio molto)",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Fazıl Say,2020-01-17,196493,2,False,mikaylab.,2026-02-15T23:26:30Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.351,0.00278,0,-32.296,1,0.0722,0.992,0.867,0.0833,0.0378,65.741,3,"""Waldstein"", II.",Fazıl Say,2020.0,Waldstein,II,Waldstein II - Say
