Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Year,Sonata,Movement,Track Name Combined
spotify:track:4yUHIm2aC7M9NACl2UuZUX,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,594506,15,False,mikaylab.,2026-02-15T23:29:33Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.341,0.0993,0,-21.645,1,0.0355,0.988,0.909,0.0796,0.0488,104.788,4,"""Waldstein"", III.",Alfred Brendel,2010.0,Waldstein,III,Waldstein III - Brendel
spotify:track:6Zi3EhHKlDGD89MPkAZpID,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,681466,26,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.289,0.0665,0,-22.047,1,0.0349,0.98,0.928,0.0702,0.057,91.038,4,"""Waldstein"", III.",Daniel Barenboim,1984.0,Waldstein,III,Waldstein III - Barenboim
spotify:track:5dian4Kcq6bYqkMhyJQXw0,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,546080,0,False,mikaylab.,2026-02-15T23:34:03Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.347,0.0887,0,-22.513,1,0.0359,0.975,0.92,0.062,0.0812,110.61,4,"""Waldstein"", III.",Rudolf Buchbinder,1984.0,Waldstein,III,Waldstein III - Buchbinder
spotify:track:1XUkDGETpW4H7zxRfFG6vz,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,571280,0,False,mikaylab.,2026-02-15T23:19:42Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.317,0.0832,0,-23.225,1,0.037,0.987,0.894,0.0697,0.0851,112.497,4,"""Waldstein"", III.",Louis Lortie,1993.0,Waldstein,III,Waldstein III - Lortie
spotify:track:0oUzSZauqZC0Qf216ogq7Y,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato – Prestissimo","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,586960,5,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.359,0.128,0,-19.548,1,0.0315,0.99,0.901,0.0955,0.0998,107.333,4,"""Waldstein"", III.",Wilhelm Kempff,1995.0,Waldstein,III,Waldstein III - Kempff
spotify:track:2ytrZGSKmpYBRZQm3Vd74O,"Sonata no. 21 in C major, op. 53 [Waldstein]: Rondo: Allegretto moderato",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,574426,3,False,mikaylab.,2026-02-15T23:21:31Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.326,0.0531,0,-25.568,1,0.0362,0.983,0.92,0.0647,0.0896,104.8,4,"""Waldstein"", III.",Richard Goode,1993.0,Waldstein,III,Waldstein III - Goode
spotify:track:4ONzFkBv3phTKwbVS5lzfB,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,565973,1,False,mikaylab.,2026-02-15T23:22:42Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.275,0.119,0,-19.656,1,0.0337,0.985,0.921,0.0789,0.085,109.925,4,"""Waldstein"", III.",Stephen Kovacevich,2003.0,Waldstein,III,Waldstein III - Kovacevich
spotify:track:28s2ttNxcKLtEfrn1pZHFm,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo (Allegretto moderato - Prestissimo)","Beethoven: Piano Sonatas, Vol. 2",Ludwig van Beethoven;Paul Lewis,2007-07-31,652346,3,False,mikaylab.,2026-02-15T23:24:17Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.29,0.103,0,-21.027,1,0.0336,0.984,0.911,0.0761,0.0492,94.138,4,"""Waldstein"", III.",Paul Lewis,2007.0,Waldstein,III,Waldstein III - Lewis
spotify:track:3gY7dVoPGHVt20KPPhyMPU,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato – Prestissimo","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,680426,3,False,mikaylab.,2026-02-15T23:36:00Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.265,0.0643,0,-24.249,1,0.0376,0.98,0.888,0.0791,0.0742,99.209,4,"""Waldstein"", III.",Steven Osborne,2010.0,Waldstein,III,Waldstein III - Osborne
spotify:track:0XOg7Hl9lFvKV8n3chf6ZS,"Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,554796,24,False,mikaylab.,2026-02-15T23:25:32Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.309,0.0509,0,-25.549,1,0.0389,0.986,0.908,0.071,0.0505,117.764,4,"""Waldstein"", III.",Igor Levit,2019.0,Waldstein,III,Waldstein III - Levit
spotify:track:6hpRpwKOVbGTnPhfZ4uNl7,"Beethoven: Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": III. Rondo (Allegretto moderato - Prestissimo)",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Fazıl Say,2020-01-17,566933,2,False,mikaylab.,2026-02-15T23:26:30Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.367,0.0899,0,-22.263,1,0.0366,0.99,0.906,0.104,0.0597,120.797,4,"""Waldstein"", III.",Fazıl Say,2020.0,Waldstein,III,Waldstein III - Say
